id,name,ele,lng,lat,flights,top_pilot,top_dist
1966389671,Vorder Grauspitz,2599,9.5812795,47.0527317,0,,
1966389666,Hinter Grauspitz,2574,9.5874533,47.0548251,0,,
333223250,Naafkopf,2571,9.6070544,47.0607725,1,Lorenz Brusa,64.87 km
425270092,Falknis,2565,9.5640342,47.0504402,6,Johannes Engewald,48.92 km
2713010522,Mazorakopf,2452,9.5566395,47.0481849,0,,
1372826233,Glegghorn,2447,9.5764741,47.036272,0,,
1501969254,Augstenberg,2359,9.6101097,47.0823936,8,Martin Bühler,175.56 km
3016379392,Plasteikopf,2345,9.5776558,47.0659585,0,,
890267077,Gorfion,2308,9.6186837,47.0781382,0,,
890269809,Ochsenkopf,2286,9.6246738,47.114693,0,,
3016379387,Hochspeler,2226,9.5713592,47.0732727,0,,
2433401131,Rappastein,2222,9.565981,47.0768406,3,Robert Rauner,15.66 km
90486978,Galinakopf,2198,9.6205943,47.1516392,1,Martin Gassner,14.60 km
3612953543,Scheienkopf,2159,9.6358519,47.1283449,0,,
5183703716,Silberhorn,2150,9.6055122,47.0871307,0,,
26863444,Kuhgrat,2122,9.5608307,47.1666716,3,Patrick Dünser,16.20 km
3016379386,Goldlochspitz,2110,9.5675293,47.0821432,0,,
3027296240,Garsellikopf,2104,9.5646189,47.170281,0,,
1342463884,Schönberg,2104,9.593016,47.1303811,2,Rolf Erhardt,24.45 km
3565824548,Nospitz,2091,9.5981153,47.0931366,0,,
1597350102,Hohe Köpfe,2066,9.6232996,47.1663176,0,,
1401972676,Drei Schwestern,2051,9.5729714,47.1755681,0,,
6550843030,Garselli-Turm 1 (2049),2049,9.5697412,47.1699652,0,,
5792154179,Wolan,2034,9.5734963,47.1764512,0,,
3016379390,Langspitz,2006,9.5596971,47.0794235,0,,
3565824547,Helwangspitz,2000,9.5618834,47.1485896,1,Hermann Lenherr,17.40 km
3027296239,Alpspitz,1997,9.5539036,47.1487013,9,Peter Haltiner,97.62 km
3016379388,Kolm,1993,9.5721006,47.0876195,0,,
3855372534,Gafleispitz,1982,9.5549163,47.1589197,0,,
3016379389,Koraspitz,1927,9.5567485,47.0794598,0,,
3027301487,Wissa Schrofa,1923,9.5569425,47.1680665,1,Rolf Erhardt,9.77 km
2712924224,Mittlerspitz,1897,9.5397424,47.065124,0,,
890268617,Mittagspitze,1856,9.5341049,47.0692611,0,,
2712990726,Wörznerhorn,1713,9.5313049,47.0630879,0,,
1891978646,Chrüppel,1706,9.5656425,47.1064589,0,,
4200519161,Plattenspitze,1702,9.5586837,47.1331726,3,Patrick Dünser,102.12 km
3027301486,Sattelspitz,1688,9.5735465,47.1851014,0,,
3027301485,Saroja,1659,9.5726693,47.1907596,14,Severin Puschkarski 🌤,66.07 km
